asset_id,type,usage,status,source_ref,notes,document_revision,source_status,engineering_review
ui_logo,ui,首页/分享海报,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/ui/logo_main.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,candidate,needs_review
ui_home_bg,background,首页背景,candidate,../../art-source/这也能叠_正式美术素材包_v1/00_DOCS/BACKGROUND_LAYER_MANIFEST.json,按正式背景分层组合；部分文件名与内容不符，先修复本批阻塞项。,2026-09-12-R1,candidate,blocked
ui_height_tag,ui,左上高度挂牌,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_height_sign.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,candidate,needs_review
ui_region_tag,ui,左上区域挂牌,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_region_sign.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,candidate,needs_review
ui_star_full,ui,生命星星,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_star_full_set.png,上方残片，星星组合边界需拆分复核。,2026-09-12-R1,candidate,blocked
ui_pause,ui,右上暂停,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_pause.png,上方和侧面带邻近组件残片。,2026-09-12-R1,candidate,blocked
ui_next_frame,ui,NEXT轮廓预览,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_next_frame.png,框内烤有固定方块虚线，右侧带邻近组件残片。,2026-09-12-R1,candidate,blocked
ui_item_slot,ui,左下双道具槽,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/item_bar/itembar_empty.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
ui_skill_rotate,ui,右下技能区旋转90°,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/hud/hud_rotate_90.png,上方和侧面带邻近组件残片。,2026-09-12-R1,placeholder,blocked
entry_claw,ui_fx,物体出场机械抓手,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/claw/claw_open_wide.png,右侧带邻近抓手残片。,2026-09-12-R1,candidate,blocked
obj_cardboard,object,纸箱,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_cardboard_box.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_woodbox,object,木箱,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_wooden_crate.png,右侧带邻近物体残片。,2026-09-12-R1,placeholder,blocked
obj_sofa,object,沙发,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_sofa.png,画面下边界截断主体，须复核完整边缘。,2026-09-12-R1,placeholder,blocked
obj_toilet,object,马桶,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_toilet.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_burger,object,巨型汉堡,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_burger.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_basketball,object,篮球,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_basketball.png,上方带邻近木箱残片。,2026-09-12-R1,placeholder,blocked
obj_ice,object,冰块,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_ice_block.png,上方和右侧带邻近物体残片。,2026-09-12-R1,placeholder,blocked
obj_plank,object,长木板,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_wood_plank.png,上下带其他物体残片；斜向画面须校准显示方向和碰撞轮廓。,2026-09-12-R1,placeholder,blocked
obj_fridge,object,冰箱,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_fridge.png,右侧带邻近物体残片。,2026-09-12-R1,placeholder,blocked
obj_dumbbell,object,哑铃,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_dumbbell.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_slipper,object,巨型拖鞋,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_slipper.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_whale,object,鲸鱼,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_whale.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_tv,object,电视机,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_television.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_bathtub,object,浴缸,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_bathtub.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_piano,object,钢琴,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_piano.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_tire,object,轮胎,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_tire.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
obj_bowling,object,保龄球,candidate,../../art-source/这也能叠_正式美术素材包_v1/02_ASSETS/objects/object_bowling_ball.png,正式来源已存在，需工程组合验收；以素材包 Manifest 为准。,2026-09-12-R1,placeholder,needs_review
